route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
870,22,224061,City (School Bus),,1,11368,9202,1
870,21,224062,City (School Bus),,1,11367,9202,1
870,21,224063,City (School Bus),,1,11010,9202,1
873,21,224067,Mt Barker (School Bus),,1,11355,11764,1
875,21,224068,Heathfield High and Primary Schools (School Bus),,0,11004,8403,1
875,45,224069,Stirling (School Bus),,1,11012,8407,1
879,45,224074,Woodside (School Bus),,1,11016,8387,1
879,23,224075,Lobethal (School Bus),,1,11357,13514,1
879,21,224076,Heathfield High School (School Bus),,0,11016,8389,1
880,21,224077,Lobethal (School Bus),,1,11365,8386,1
880,21,224078,Cornerstone College (School Bus),,0,11019,8384,1
881,21,224079,Mount Barker Waldorf School (School Bus),,0,11349,11435,1
881,21,224080,Crafers (School Bus),,1,11363,8385,1
886,21,224094,Cabra College (School Bus),,0,11361,14422,1
871,21,337681,Stirling (School Bus),,1,11201,11776,1
871,21,337682,Glenunga International High School (School Bus),,0,11014,11775,1
875T,23,403510,Summertown (School Bus),,1,11008,13502,1
GLNELG,3001,549917,Entertainment Centre,,0,802,13673,1
GLNELG,3001,549918,Entertainment Centre,,0,801,13676,1
GLNELG,3001,549919,Entertainment Centre,,0,803,13676,1
GLNELG,3001,549920,Entertainment Centre,,0,804,13676,1
GLNELG,3001,549921,Royal Adelaide Hospital,,0,805,13671,1
BTANIC,3001,549922,Entertainment Centre,,0,801,13669,1
GLNELG,3001,549923,Entertainment Centre,,0,806,13676,1
GLNELG,3001,549924,Royal Adelaide Hospital,,0,807,13671,1
GLNELG,3001,549925,Entertainment Centre,,0,808,13676,1
GLNELG,3001,549926,Royal Adelaide Hospital,,0,809,13671,1
BTANIC,3001,549927,Entertainment Centre,,0,804,13669,1
GLNELG,3001,549928,Royal Adelaide Hospital,,0,810,13671,1
GLNELG,3001,549929,Entertainment Centre,,0,811,13676,1
GLNELG,3001,549930,Royal Adelaide Hospital,,0,802,13671,1
BTANIC,3001,549931,Entertainment Centre,,0,801,13669,1
GLNELG,3001,549932,Royal Adelaide Hospital,,0,812,13671,1
BTANIC,3001,549933,Entertainment Centre,,0,806,13669,1
GLNELG,3001,549934,Royal Adelaide Hospital,,0,813,13671,1
BTANIC,3001,549935,Entertainment Centre,,0,808,13669,1
GLNELG,3001,549936,Royal Adelaide Hospital,,0,803,13671,1
BTANIC,3001,549937,Entertainment Centre,,0,804,13669,1
GLNELG,3001,549938,Royal Adelaide Hospital,,0,814,13671,1
BTANIC,3001,549939,Entertainment Centre,,0,811,13669,1
GLNELG,3001,549940,Royal Adelaide Hospital,,0,805,13671,1
BTANIC,3001,549941,Entertainment Centre,,0,801,13669,1
GLNELG,3001,549942,Entertainment Centre,,0,815,13676,1
GLNELG,3001,549943,Royal Adelaide Hospital,,0,816,13671,1
BTANIC,3001,549944,Entertainment Centre,,0,806,13669,1
GLNELG,3001,549945,Entertainment Centre,,0,817,13676,1
GLNELG,3001,549946,Royal Adelaide Hospital,,0,807,13671,1
BTANIC,3001,549947,Entertainment Centre,,0,808,13669,1
GLNELG,3001,549948,Entertainment Centre,,0,818,13676,1
GLNELG,3001,549949,Royal Adelaide Hospital,,0,809,13671,1
BTANIC,3001,549950,Entertainment Centre,,0,804,13669,1
GLNELG,3001,549951,Entertainment Centre,,0,819,13676,1
GLNELG,3001,549952,Royal Adelaide Hospital,,0,810,13671,1
BTANIC,3001,549953,Entertainment Centre,,0,811,13669,1
GLNELG,3001,549954,Entertainment Centre,,0,820,13676,1
GLNELG,3001,549955,Royal Adelaide Hospital,,0,802,13671,1
BTANIC,3001,549956,Entertainment Centre,,0,801,13669,1
GLNELG,3001,549957,Entertainment Centre,,0,821,13676,1
GLNELG,3001,549958,Royal Adelaide Hospital,,0,812,13671,1
BTANIC,3001,549959,Entertainment Centre,,0,806,13669,1
GLNELG,3001,549960,Royal Adelaide Hospital,,0,813,13671,1
BTANIC,3001,549961,Entertainment Centre,,0,808,13669,1
GLNELG,3001,549962,Royal Adelaide Hospital,,0,803,13671,1
BTANIC,3001,549963,Entertainment Centre,,0,804,13669,1
GLNELG,3001,549964,Royal Adelaide Hospital,,0,814,13671,1
BTANIC,3001,549965,Entertainment Centre,,0,811,13669,1
GLNELG,3001,549966,Royal Adelaide Hospital,,0,805,13671,1
BTANIC,3001,549967,Entertainment Centre,,0,801,13669,1
GLNELG,3001,549968,Royal Adelaide Hospital,,0,816,13671,1
BTANIC,3001,549969,Entertainment Centre,,0,806,13669,1
GLNELG,3001,549970,Royal Adelaide Hospital,,0,807,13671,1
BTANIC,3001,549971,Entertainment Centre,,0,808,13669,1
GLNELG,3001,549972,Royal Adelaide Hospital,,0,809,13671,1
BTANIC,3001,549973,Entertainment Centre,,0,804,13669,1
GLNELG,3001,549974,Royal Adelaide Hospital,,0,810,13671,1
BTANIC,3001,549975,Entertainment Centre,,0,811,13669,1
GLNELG,3001,549976,Royal Adelaide Hospital,,0,802,13671,1
BTANIC,3001,549977,Entertainment Centre,,0,801,13669,1
GLNELG,3001,549978,Royal Adelaide Hospital,,0,812,13671,1
BTANIC,3001,549979,Entertainment Centre,,0,806,13669,1
GLNELG,3001,549980,Royal Adelaide Hospital,,0,813,13671,1
BTANIC,3001,549981,Entertainment Centre,,0,808,13669,1
GLNELG,3001,549982,Royal Adelaide Hospital,,0,803,13671,1
BTANIC,3001,549983,Entertainment Centre,,0,804,13669,1
GLNELG,3001,549984,Royal Adelaide Hospital,,0,814,13671,1
BTANIC,3001,549985,Entertainment Centre,,0,811,13669,1
GLNELG,3001,549986,Royal Adelaide Hospital,,0,805,13671,1
BTANIC,3001,549987,Entertainment Centre,,0,801,13669,1
GLNELG,3001,549988,Royal Adelaide Hospital,,0,816,13671,1
BTANIC,3001,549989,Entertainment Centre,,0,806,13669,1
GLNELG,3001,549990,Royal Adelaide Hospital,,0,807,13671,1
BTANIC,3001,549991,Entertainment Centre,,0,808,13669,1
GLNELG,3001,549992,Royal Adelaide Hospital,,0,809,13671,1
BTANIC,3001,549993,Entertainment Centre,,0,804,13669,1
GLNELG,3001,549994,Royal Adelaide Hospital,,0,810,13671,1
BTANIC,3001,549995,Entertainment Centre,,0,811,13669,1
GLNELG,3001,549996,Royal Adelaide Hospital,,0,802,13671,1
BTANIC,3001,549997,Entertainment Centre,,0,801,13669,1
GLNELG,3001,549998,Royal Adelaide Hospital,,0,812,13671,1
BTANIC,3001,549999,Entertainment Centre,,0,806,13669,1
GLNELG,3001,550000,Royal Adelaide Hospital,,0,813,13671,1
BTANIC,3001,550001,Entertainment Centre,,0,808,13669,1
GLNELG,3001,550002,Royal Adelaide Hospital,,0,803,13671,1
BTANIC,3001,550003,Entertainment Centre,,0,804,13669,1
GLNELG,3001,550004,Royal Adelaide Hospital,,0,814,13671,1
BTANIC,3001,550005,Entertainment Centre,,0,811,13669,1
GLNELG,3001,550006,Royal Adelaide Hospital,,0,805,13671,1
BTANIC,3001,550007,Entertainment Centre,,0,801,13669,1
GLNELG,3001,550008,Royal Adelaide Hospital,,0,816,13671,1
BTANIC,3001,550009,Entertainment Centre,,0,806,13669,1
GLNELG,3001,550010,Royal Adelaide Hospital,,0,807,13671,1
BTANIC,3001,550011,Entertainment Centre,,0,808,13669,1
GLNELG,3001,550012,Royal Adelaide Hospital,,0,809,13671,1
BTANIC,3001,550013,Entertainment Centre,,0,804,13669,1
GLNELG,3001,550014,Royal Adelaide Hospital,,0,810,13671,1
BTANIC,3001,550015,Entertainment Centre,,0,811,13669,1
GLNELG,3001,550016,Royal Adelaide Hospital,,0,802,13671,1
BTANIC,3001,550017,Entertainment Centre,,0,801,13669,1
GLNELG,3001,550018,Royal Adelaide Hospital,,0,812,13671,1
